case_id,case_title,provider,discovery_query,url,title,snippet,source_domain,role,score,keep,reason,provider_hint
CASE-0002,conspiracy theories,duckduckgo_html,conspiracy theories evidence timeline documents,https://govfacts.org/criminal-justice-public-safety/crime-criminal-law/types-of-crimes/the-epstein-files-what-documents-exist-and-what-they-prove/,The Epstein Files: What Documents Exist and What They Prove,"Psychological research indicates that conspiracy theories are often ""self-sealing."" Evidence that contradicts the theory is reinterpreted as proof of the conspiracy's reach.",govfacts.org,review_or_discard,20,False,token_hits:2,Optional provider: Exa via Playwright/browser automation. Use this query in Exa search UI: conspiracy theories evidence timeline documents
CASE-0002,conspiracy theories,duckduckgo_html,conspiracy theories evidence timeline documents,https://en.wikipedia.org/wiki/Epstein_files,Epstein files - Wikipedia,"The Epstein files are a partially released collection of millions of documents , images, videos, and emails detailing the activities of American financier and convicted child sex offender Jeffrey Epstein, including his social circle of public figures, politicians, and celebrities. [3] The files incl",en.wikipedia.org,review_or_discard,20,False,preferred_url_pattern,Optional provider: Exa via Playwright/browser automation. Use this query in Exa search UI: conspiracy theories evidence timeline documents
CASE-0002,conspiracy theories,duckduckgo_html,conspiracy theories evidence timeline documents,https://www.npr.org/2026/01/02/nx-s1-5662638/epstein-files-release-trump-conspiracy-2026,"Epstein files release breeds more conspiracy theories, even less trust ...",Have information or evidence to share about the Epstein files and the Department of Justice's release of documents ?,www.npr.org,review_or_discard,20,False,token_hits:2,Optional provider: Exa via Playwright/browser automation. Use this query in Exa search UI: conspiracy theories evidence timeline documents
CASE-0002,conspiracy theories,duckduckgo_html,conspiracy theories evidence timeline documents,https://www.aljazeera.com/news/2026/2/10/struggling-to-navigate-the-epstein-files-here-is-a-visual-guide,Struggling to navigate the Epstein files? Here is a visual guide,The US Department of Justice has released three million files related to convicted sex offender Jeffrey Epstein.,www.aljazeera.com,review_or_discard,20,False,preferred_url_pattern,Optional provider: Exa via Playwright/browser automation. Use this query in Exa search UI: conspiracy theories evidence timeline documents
CASE-0002,conspiracy theories,duckduckgo_html,conspiracy theories evidence timeline documents,https://www.pbs.org/newshour/politics/a-timeline-of-the-jeffrey-epstein-investigation-and-the-fight-to-make-the-governments-files-public,A timeline of the Jeffrey Epstein investigation and the fight to ... - PBS,The release is the culmination of a yearslong fight over the records underpinning one of the Justice Department's most high-profile and highly debated cases.,www.pbs.org,review_or_discard,10,False,low_signal,Optional provider: Exa via Playwright/browser automation. Use this query in Exa search UI: conspiracy theories evidence timeline documents
CASE-0003,flat earth,duckduckgo_html,flat earth evidence timeline documents,https://www.terre-plate.org/library/CIA%20NASA%20Documents/81%20Government%20_%20Affiliate%20Documents%20that%20admit%20Flat%20Earth-converted.pdf,PDF 81 Government & Affiliate Documents that admit Flat Earth,"(1) Dissertations Defended in the Scientific Council of the Institute of Physics of the Earth Pages: 19, 20",www.terre-plate.org,review_or_discard,20,False,token_hits:2,Optional provider: Exa via Playwright/browser automation. Use this query in Exa search UI: flat earth evidence timeline documents
CASE-0003,flat earth,duckduckgo_html,flat earth evidence timeline documents,https://guides.loc.gov/flat-earth/articles,The Flat Earth and its Advocates: A List of References,"For thousands of years people have known the earth is a sphere, yet, periodically, doubters come forward to challenge the fact. This guide provides links to books and journal articles on the pseudoscientific theory that the earth is a flat disc.",guides.loc.gov,review_or_discard,20,False,token_hits:2,Optional provider: Exa via Playwright/browser automation. Use this query in Exa search UI: flat earth evidence timeline documents
CASE-0003,flat earth,duckduckgo_html,flat earth evidence timeline documents,https://aethercosmology.com/t/44-government-documents-referencing-a-flat-and-or-non-rotating-earth/89,44 Government Documents Referencing a Flat and/or Non-Rotating Earth,"44 Government Documents who Proof Flat Earth ! [05.02.2024] Note: Another few Proofs that the Earth is Not a Spinning Ball Flying though 'Space': ""Those (Morons) Who Do Not Learn From History Are Doomed To Repeat It."" - George Santayana (1863-1952) The officia Duration: 1721",aethercosmology.com,review_or_discard,20,False,token_hits:2,Optional provider: Exa via Playwright/browser automation. Use this query in Exa search UI: flat earth evidence timeline documents
CASE-0003,flat earth,duckduckgo_html,flat earth evidence timeline documents,https://www.scribd.com/document/491892354/81-Government-Affiliate-Documents-that-admit-Flat-Earth-converted,Government Documents on Flat Earth - Scribd,"The document lists 81 government and military documents that contain references to a flat Earth . Some of the documents discuss modeling or simulations that assume a flat Earth , such as for trajectory predictions of projectiles or aircraft. Other documents contain references to a flat Earth in thei",www.scribd.com,review_or_discard,30,False,"preferred_url_pattern,token_hits:2",Optional provider: Exa via Playwright/browser automation. Use this query in Exa search UI: flat earth evidence timeline documents
CASE-0003,flat earth,duckduckgo_html,flat earth evidence timeline documents,https://www.spacecentre.nz/resources/faq/solar-system/earth/flat/projects.html,How to prove the Earth is flat - Space Centre,"How to prove the Earth is flat The projects listed below could provide compelling evidence for the flat-earth theory. The main problem is finding the resources to undertake them, because they are very time-consuming and/or expensive. However, they are all achievable and there's no reason not to unde",www.spacecentre.nz,review_or_discard,20,False,token_hits:2,Optional provider: Exa via Playwright/browser automation. Use this query in Exa search UI: flat earth evidence timeline documents
